frame,t,bx,by
75,3.0,1076.2837386334315,310.92434754629323
76,3.04,1073.715452535066,305.89053917226823
77,3.08,1070.8973583271752,300.8878963516903
78,3.12,1067.8310791541091,295.9193004685138
79,3.16,1064.518381107897,290.9876132965982
80,3.2,1060.9611722110255,286.095675351406
81,3.24,1057.1615013174714,281.24630425394383
82,3.28,1053.1215569326187,276.44229310789103
83,3.32,1048.8436659527379,271.68640889084895
84,3.36,1044.3302923247606,266.9813908606384
85,3.4,1039.5840356271142,262.32994897756305
86,3.44,1034.6076295724336,257.73476234354683
87,3.48,1029.4039404330215,253.1984776590458
88,3.52,1023.9759653899533,248.72370769862133
89,3.56,1018.3268308067843,244.3130298060546
90,3.6,1012.45979042885,239.96898440986766
91,3.64,1006.3782235091992,235.6940735601068
92,3.68,1000.0856328622378,231.4907594872311
93,3.72,993.5856428462041,227.36146318393546
94,3.76,986.8819972756394,223.30856301072606
95,3.8,979.978557265053,219.33439332605016
96,3.84,972.8792990050288,215.44124314177043
97,3.88,965.5883114720477,211.63135480475728
98,3.92,958.1097940733514,207.906922705359
99,3.96,950.4480542281998,204.2700920134938
100,4.0,942.6075048869156,200.722957443091
101,4.04,934.5926619891484,197.26756204559385
102,4.08,926.4081418628168,193.90589603321837
103,4.12,918.0586585652325,190.63989563264616
104,4.16,909.5490211679328,187.47144196981125
105,4.2,900.8841309867887,184.40235998642376
106,4.24,892.0689787589821,181.43441738885375
107,4.28,883.1086417684797,178.56932362998134
108,4.32,874.0082809216574,175.808728924599
109,4.36,864.7731377747608,173.15422329893363
110,4.4,855.4085315149144,170.6073356748352
111,4.44,845.9198558964162,168.16953298916022
112,4.48,836.3125761340845,165.8422193488566
113,4.52,826.5922257554455,163.6267352222368
114,4.56,816.7644034135742,161.52435666690516
115,4.6,806.834769662425,159.53629459478415
116,4.64,796.8090436965093,157.66369407466246
117,4.68,786.6930000567977,155.90763367266695
118,4.72,776.4924653047436,154.2691248310386
119,4.76,766.2133146663452,152.74911128556954
120,4.8,755.8614686481776,151.34846852203745
121,4.84,745.4428896273452,150.0680032719499
